"full_name","ad","tp_cal","e","q","i","om","w","per_y","class","data_arc","condition_code","n_obs_used","two_body","A1","A2","A3","DT","name","epoch","epoch_cal","a","moid","moid_ld","first_obs","last_obs"
"     C/1967 Y1 (Ikeya-Seki)",4020.35,1968-02-25.7,0.9992,1.697,129.32,255.32,70.86,9.02e+04,COM,676,,197,,,,,,Ikeya-Seki,2439933.5,1968-03-18.0,2011,1.07,415,1967-12-29,1969-11-04
"     C/1968 H1 (Tago-Honda-Yamamoto)",358.94,1968-05-16.2,0.9962,0.680,102.17,233.11,50.45,2.41e+03,COM,32,,35,,,,,,Tago-Honda-Yamamoto,2439993.5,1968-05-17.0,179.8,0.163,63.6,1968-05-04,1968-06-05
"     C/1968 L1 (Whitaker-Thomas)",,1968-06-04.5,1.0000,1.234,61.77,254.72,353.98,,PAR,39,,23,T,,,,,Whitaker-Thomas,2440039.5,1968-07-02.0,,0.222,86.4,1968-06-17,1968-07-26
"     C/1968 N1 (Honda)",,1968-08-07.9,1.0007,1.160,143.24,106.75,88.72,,HYP,120,,137,,,,,,Honda,2440103.5,1968-09-04.0,-1620,0.617,240,1968-07-13,1968-11-10
"     C/1968 Q1 (Bally-Clayton)",,1968-08-20.8,1.0000,1.771,93.17,319.40,26.86,,PAR,89,,52,T,,,,,Bally-Clayton,2440118.5,1968-09-19.0,,0.828,322,1968-08-25,1968-11-22
"     C/1968 Q2 (Honda)",,1968-11-03.8,1.0000,1.099,127.91,253.29,282.80,,PAR,64,,35,T,,,,,Honda,2440151.5,1968-10-22.0,,0.522,203,1968-09-12,1968-11-15
"     C/1968 U1 (Wild)",81047.51,1968-03-30.8,0.9999,2.603,135.13,209.22,101.49,8.16e+06,COM,28,,15,T,,,,,Wild,2440153.5,1968-10-24.0,4.053e+04,1.98,772,1968-10-17,1968-11-14
"     C/1968 Y1 (Thomas)",1408.46,1969-01-12.2,0.9953,3.316,45.23,16.11,82.58,1.88e+04,COM,150,,43,,,,,,Thomas,2440266.5,1969-02-14.0,705.9,2.7,1.05e+03,1968-12-19,1969-05-18
"     C/1969 O1-A (Kohoutek)",3927.62,1970-03-21.6,0.9991,1.719,86.31,301.76,123.47,,COM,578,,210,F,,,,,Kohoutek,2440680.5,1970-04-04.0,1965,,,1969-07-23,1971-02-21
"     C/1969 P1 (Fujikawa)",,1969-10-12.4,1.0000,0.774,8.93,192.40,299.02,,PAR,74,,69,T,,,,,Fujikawa,2440479.5,1969-09-15.0,,0.0109,4.26,1969-08-14,1969-10-27
"     C/1969 T1 (Tago-Sato-Kosaka)",12804.16,1969-12-21.2,0.9999,0.473,75.82,101.66,267.83,5.12e+05,COM,175,,305,,,,,,Tago-Sato-Kosaka,2440607.5,1970-01-21.0,6402,0.000574,0.223,1969-10-13,1970-04-06
"     C/1969 Y1 (Bennett)",289.54,1970-03-20.0,0.9963,0.538,90.04,224.66,354.15,1.75e+03,COM,301,,529,,,,,,Bennett,2440688.5,1970-04-12.0,145,0.469,183,1969-12-30,1970-10-27
"     C/1970 B1 (Daido-Fujikawa)",,1970-02-15.8,1.0000,0.066,100.18,30.60,266.65,,HYP,12,,32,T,,,,,Daido-Fujikawa,2440621.5,1970-02-04.0,-3436,0.72,280,1970-01-28,1970-02-09
"     C/1970 K1 (White-Ortiz-Bolelli)",347.56,1970-05-14.4,0.9999,0.009,138.95,336.82,61.10,2.29e+03,COM,14,,9,T,,,,,White-Ortiz-Bolelli,2440735.5,1970-05-29.0,173.8,0.49,191,1970-05-23,1970-06-06
"     C/1970 N1 (Abe)",,1970-10-20.6,1.0000,1.113,126.72,21.70,96.58,,HYP,324,,271,,,,,,Abe,2440870.5,1970-10-11.0,-3.014e+04,0.616,240,1970-07-05,1971-05-25
"     C/1970 U1 (Suzuki-Sato-Seki)",,1970-10-01.7,1.0000,0.405,60.79,293.68,318.52,,PAR,37,,47,T,,,,,Suzuki-Sato-Seki,2440890.5,1970-10-31.0,,0.519,202,1970-10-20,1970-11-26
"     C/1971 E1 (Toba)",,1971-04-17.2,1.0010,1.233,109.68,104.08,152.36,,HYP,184,,137,,,,,,Toba,2441079.5,1971-05-08.0,-1262,0.281,109,1971-03-09,1971-09-09
"     C/1971 M1 (Edwards)",,1971-12-07.9,1.0000,2.881,97.15,267.78,44.18,,PAR,35,,7,T,,,,,Edwards,2441136.5,1971-07-04.0,,2.08,811,1971-06-20,1971-07-25
"     C/1972 E1 (Bradfield)",996.51,1972-03-27.7,0.9981,0.927,123.69,160.30,257.70,1.11e+04,COM,72,,85,,,,,,Bradfield,2441431.5,1972-04-24.0,498.7,0.358,139,1972-03-22,1972-06-02
"     C/1972 F1 (Gehrels)",3096.49,1971-01-06.5,0.9979,3.276,175.61,24.75,128.70,6.1e+04,COM,348,,18,,,,,,Gehrels,2441534.5,1972-08-05.0,1550,2.26,881,1972-03-16,1973-02-27
"     C/1972 L1 (Sandage)",,1972-11-14.7,1.0063,4.276,79.37,225.49,56.65,,HYP,862,,146,,,,,,Sandage,2441601.5,1972-10-11.0,-674,3.64,1.42e+03,1972-06-09,1974-10-19
"     C/1972 U1 (Kojima)",,1973-02-12.2,1.0010,2.147,141.86,43.19,334.31,,HYP,659,,267,,,,,,Kojima,2441701.5,1973-01-19.0,-2059,1.2,467,1972-10-31,1974-08-21
"     C/1972 X1 (Araya)",19332.20,1972-12-18.9,0.9995,4.861,113.09,314.89,267.21,9.51e+05,COM,944,,71,,,,,,Araya,2441860.5,1973-06-27.0,9669,4.55,1.77e+03,1972-11-15,1975-06-17
"     C/1973 A1 (Heck-Sause)",,1972-10-05.4,1.0006,2.511,138.63,175.88,346.24,,HYP,405,,190,,,,,,Heck-Sause,2441743.5,1973-03-02.0,-4381,1.53,594,1973-01-10,1974-02-19
"     C/1973 D1 (Kohoutek)",2209.38,1973-06-07.1,0.9987,1.382,121.60,164.82,74.86,3.68e+04,COM,206,,42,,,,,,Kohoutek,2441792.5,1973-04-20.0,1105,0.835,325,1973-02-28,1973-09-22
"     C/1973 E1 (Kohoutek)",,1973-12-28.4,1.0000,0.142,14.30,258.49,37.80,,HYP,453,,812,,,,,,Kohoutek,2442022.5,1973-12-06.0,-1.824e+04,0.029,11.3,1973-01-28,1974-04-26
"     C/1973 H1 (Huchra)",173.84,1973-03-11.5,0.9729,2.384,48.33,57.84,123.47,827,COM,57,6,26,,,,,,Huchra,2441832.5,1973-05-30.0,88.11,1.62,630,1973-05-05,1973-07-01
"     C/1973 N1 (Sandage)",,1973-11-08.1,1.0002,4.812,137.40,279.24,72.55,,HYP,609,,27,,,,,,Sandage,2442105.5,1974-02-27.0,-2.132e+04,4.08,1.59e+03,1973-07-04,1975-03-05
"     C/1973 W1 (Gibson)",,1973-08-09.9,1.0005,3.842,108.06,244.60,221.27,,HYP,315,,21,,,,,,Gibson,2442129.5,1974-03-23.0,-8344,3.04,1.18e+03,1973-11-30,1974-10-11
"     C/1974 C1 (Bradfield)",3783.35,1974-03-18.3,0.9997,0.503,61.28,143.73,333.13,8.23e+04,COM,277,,173,,,,,,Bradfield,2442157.5,1974-04-20.0,1892,0.444,173,1974-02-14,1974-11-18
"     C/1974 F1 (Lovas)",29737.75,1975-08-22.1,0.9998,3.011,50.65,12.37,261.36,1.81e+06,COM,1270,,137,,,,,,Lovas,2442514.5,1975-04-12.0,1.487e+04,2.46,956,1974-03-21,1977-09-11
"     C/1974 O1 (Cesco)",131.80,1974-05-12.9,0.9794,1.373,173.16,165.74,176.76,543,COM,73,7,18,,,,,,Cesco,2442280.5,1974-08-21.0,66.59,0.366,143,1974-07-27,1974-10-08
"     C/1974 V1 (van den Bergh)",,1974-08-08.1,1.0037,6.019,60.86,226.10,151.79,,HYP,717,,40,,,,,,"van den Bergh",2442486.5,1975-03-15.0,-1642,5.11,1.99e+03,1974-11-14,1976-10-31
"     C/1974 V2 (Bennett)",19269.99,1974-12-01.5,0.9999,0.865,134.83,51.35,324.97,9.46e+05,COM,10,,14,T,,,,,Bennett,2442370.5,1974-11-19.0,9635,0.0356,13.8,1974-11-14,1974-11-24
"     C/1975 E1 (Bradfield)",,1975-04-04.5,1.0014,1.217,55.24,157.91,264.13,,HYP,358,,52,,,,,,Bradfield,2442574.5,1975-06-11.0,-865.3,0.743,289,1975-03-15,1976-03-07
"     C/1975 N1 (Kobayashi-Berger-Milon)",,1975-09-05.3,1.0001,0.426,80.78,296.35,116.97,,HYP,178,,390,,,,,,Kobayashi-Berger-Milon,2442633.5,1975-08-09.0,-4638,0.259,101,1975-07-06,1975-12-31
"     C/1975 T1 (Mori-Sato-Fujikawa)",1260.07,1975-12-25.8,0.9975,1.604,91.61,278.68,246.24,1.58e+04,COM,383,,193,,,,,,Mori-Sato-Fujikawa,2442764.5,1975-12-18.0,630.8,1.03,399,1975-10-07,1976-10-24
"     C/1975 T2 (Suzuki-Saigusa-Mori)",115.57,1975-10-15.3,0.9856,0.838,118.23,216.81,152.02,444,COM,90,6,112,,,,,,Suzuki-Saigusa-Mori,2442716.5,1975-10-31.0,58.2,0.0999,38.9,1975-10-06,1976-01-04
"     C/1975 V1-A (West)",,1976-02-25.2,1.0000,0.197,43.07,118.92,358.43,,HYP,199,,113,,,,,,West,2442908.5,1976-05-10.0,-1.222e+04,0.555,216,1976-03-10,1976-09-25
"     C/1975 V2 (Bradfield)",,1975-12-21.1,1.0000,0.219,70.63,271.31,358.09,,HYP,88,,81,,,,,,Bradfield,2442768.5,1975-12-22.0,-1.422e+04,0.796,310,1975-11-13,1976-02-09
"     C/1975 X1 (Sato)",,1976-01-03.9,1.0015,0.864,93.96,281.50,215.46,,HYP,57,,72,,,,,,Sato,2442765.5,1975-12-19.0,-572.9,0.0294,11.4,1975-12-09,1976-02-04
"     C/1976 D1 (Bradfield)",257.05,1976-02-24.6,0.9934,0.848,46.83,160.79,313.00,1.46e+03,COM,63,,29,,,,,,Bradfield,2442845.5,1976-03-08.0,128.9,0.0142,5.54,1976-02-21,1976-04-24
"     C/1976 D2 (Schuster)",,1975-01-14.7,1.0011,6.880,112.03,22.79,193.37,,HYP,772,,54,,,,,,Schuster,2442967.5,1976-07-08.0,-6145,5.9,2.3e+03,1976-02-25,1978-04-07
"     C/1976 E1 (Bradfield)",10490.75,1976-02-25.0,0.9999,0.678,147.78,70.21,221.77,3.8e+05,COM,24,,12,T,,,,,Bradfield,2442849.5,1976-03-12.0,5246,0.19,74,1976-03-04,1976-03-28
"     C/1976 J1 (Harlan)",12179.13,1976-11-03.1,0.9997,1.569,38.81,81.41,193.27,4.75e+05,COM,181,,41,,,,,,Harlan,2442956.5,1976-06-27.0,6090,0.565,220,1976-04-27,1976-10-25
"     C/1976 U1 (Lovas)",,1976-07-06.5,1.0037,5.857,86.63,286.04,118.81,,HYP,448,,34,,,,,,Lovas,2443179.5,1977-02-05.0,-1597,5.32,2.07e+03,1976-11-19,1978-02-10
"     D/1977 C1 (Skiff-Kosai)",4.84,1976-08-03.9,0.2592,2.850,3.20,80.77,26.55,7.54,ETc,27,7,8,,,,,,Skiff-Kosai,2443197.5,1977-02-23.0,3.847,1.87,726,1977-02-13,1977-03-12
"     C/1977 D1 (Lovas)",,1976-11-01.3,1.0034,5.716,64.52,338.17,146.31,,HYP,352,,30,,,,,,Lovas,2443268.5,1977-05-05.0,-1679,4.85,1.89e+03,1977-02-17,1978-02-04
"     C/1977 H1 (Helin)",297553.40,1977-06-30.9,1.0000,1.118,43.19,20.14,249.36,5.74e+07,COM,29,,35,T,,,,,Helin,2443255.5,1977-04-22.0,1.488e+05,0.442,172,1977-04-16,1977-05-15
"     C/1977 R1 (Kohler)",4395.20,1977-11-10.5,0.9995,0.991,48.71,182.52,163.49,1.03e+05,COM,271,,421,,,,,,Kohler,2443448.5,1977-11-01.0,2198,0.0088,3.42,1977-09-06,1978-06-04
"     C/1977 V1 (Tsuchinshan)",11928.84,1977-07-24.8,0.9994,3.603,168.55,5.29,318.18,4.61e+05,COM,363,,69,,,,,,Tsuchinshan,2443513.5,1978-01-05.0,5966,2.62,1.02e+03,1977-11-03,1978-11-01
"     C/1978 A1 (West)",,1977-07-21.4,1.0027,5.606,116.92,211.62,343.27,,HYP,1183,,60,,,,,,West,2443593.5,1978-03-26.0,-2080,4.63,1.8e+03,1976-03-30,1979-06-26
"     C/1978 C1 (Bradfield)",,1978-03-17.6,1.0000,0.437,51.09,260.50,48.71,,PAR,34,,73,T,,,,,Bradfield,2443562.5,1978-02-23.0,,0.42,163,1978-02-06,1978-03-12
"     C/1978 G2 (McNaught-Tritton)",,1978-08-23.9,1.0046,6.284,153.18,72.21,229.46,,HYP,651,,5,,,,,,McNaught-Tritton,2443748.5,1978-08-28.0,-1358,5.35,2.08e+03,1978-04-12,1980-01-23
"     C/1978 H1 (Meier)",,1978-11-11.4,1.0008,1.137,43.76,349.34,231.40,,HYP,590,,276,,,,,,Meier,2443855.5,1978-12-13.0,-1338,0.33,129,1978-04-28,1979-12-09
"     D/1978 R1 (Haneda-Campos)",5.48,1978-10-09.4,0.6652,1.101,5.95,132.25,240.46,5.97,JFc,122,6,62,,,,,,Haneda-Campos,2443773.5,1978-09-22.0,3.29,0.135,52.5,1978-07-30,1978-11-29
"     C/1978 R3 (Machholz)",,1978-08-13.6,1.0003,1.772,130.64,290.68,224.75,,HYP,322,,46,,,,,,Machholz,2443814.5,1978-11-02.0,-6295,0.942,367,1978-09-14,1979-08-02
"     C/1978 T1 (Seargent)",443.46,1978-09-14.8,0.9983,0.370,67.83,41.77,207.76,3.31e+03,COM,62,,33,,,,,,Seargent,2443796.5,1978-10-15.0,221.9,0.599,233,1978-10-02,1978-12-03
"     C/1978 T3 (Bradfield)",1094964.72,1978-09-29.0,1.0000,0.432,138.27,358.42,240.44,4.05e+08,COM,26,,14,T,,,,,Bradfield,2443800.5,1978-10-19.0,5.475e+05,0.229,89.2,1978-10-11,1978-11-06
"     C/1979 M1 (Bradfield)",,1979-07-23.2,1.0000,0.413,136.23,164.22,47.65,,HYP,91,,25,,,,,,Bradfield,2444088.5,1979-08-03.0,-1.286e+04,0.359,140,1979-06-25,1979-09-24
"     C/1979 M3 (Torres)",,1979-07-15.4,1.0010,4.687,92.18,293.14,10.10,,HYP,426,,33,,,,,,Torres,2444069.5,1979-07-15.0,-4575,3.68,1.43e+03,1978-08-23,1979-10-23
"     C/1979 Q1 (SOLWIND)",,1979-08-30.9,1.0000,0.005,141.46,345.00,67.67,,PAR,0,,,T,,,,,SOLWIND,2444116.4,1979-08-30.9,,,,1979-08-30,1979-08-30
"     C/1979 S1 (Meier)",104.63,1979-10-17.3,0.9730,1.432,67.08,297.63,112.56,386,COM,169,5,45,,,,,,Meier,2444179.5,1979-11-02.0,53.03,0.829,323,1979-09-20,1980-03-07
"     C/1979 Y1 (Bradfield)",90.63,1979-12-21.6,0.9880,0.545,148.60,103.22,257.61,308,COM,75,6,127,,,,,,Bradfield,2444263.5,1980-01-25.0,45.59,0.0671,26.1,1979-12-26,1980-03-10
"     C/1980 E1 (Bowell)",,1982-03-12.2,1.0577,3.364,1.66,114.56,135.08,,HYP,2514,,187,,,,,,Bowell,2444972.5,1982-01-03.0,-58.27,2.35,915,1980-02-11,1986-12-30
"     C/1980 L1 (Torres)",,1980-04-19.8,1.0002,2.584,73.15,279.52,334.97,,HYP,118,,58,,,,,,Torres,2444445.5,1980-07-25.0,-1.44e+04,1.63,636,1980-06-13,1980-10-09
"     C/1980 O1 (Cernis-Petrauskas)",,1980-06-22.4,1.0000,0.523,49.07,160.63,337.78,,PAR,41,,20,T,,,,,Cernis-Petrauskas,2444480.5,1980-08-29.0,,0.435,169,1980-08-02,1980-09-12
"     C/1980 R1 (Russell)",,1981-03-06.1,1.0018,2.112,128.71,232.79,297.19,,HYP,211,,17,,,,,,Russell,2444525.5,1980-10-13.0,-1158,1.41,548,1980-09-06,1981-04-05
"     C/1980 V1 (Meier)",560.99,1980-12-09.6,0.9946,1.519,100.99,25.44,87.96,4.72e+03,COM,209,,61,,,,,,Meier,2444618.5,1981-01-14.0,281.3,1.21,470,1980-11-06,1981-06-03
"     C/1980 Y1 (Bradfield)",1891.96,1980-12-29.5,0.9997,0.260,138.59,115.35,358.29,2.91e+04,COM,405,,32,,,,,,Bradfield,2444630.5,1981-01-26.0,946.1,0.601,234,1980-07-18,1981-08-27
"     C/1980 Y2 (Panther)",2466.49,1981-01-27.3,0.9987,1.657,82.65,332.00,105.60,4.34e+04,COM,238,,200,,,,,,Panther,2444661.5,1981-02-26.0,1234,1.18,459,1980-10-09,1981-06-04
"     C/1981 B1 (SOLWIND)",,1981-01-27.1,1.0000,0.008,140.68,342.11,65.43,,PAR,1,,,T,,,,,SOLWIND,2444631.6,1981-01-27.1,,,,1981-01-26,1981-01-27
"     C/1981 G1 (Elias)",,1981-08-18.3,1.0014,4.743,115.30,176.71,310.27,,HYP,715,,20,,,,,,Elias,2444992.5,1982-01-23.0,-3382,4,1.56e+03,1981-04-29,1983-04-14
"     C/1981 H1 (Bus)",4315.82,1981-07-30.7,0.9989,2.458,160.66,24.26,189.85,1e+05,COM,265,,26,,,,,,Bus,2444756.5,1981-06-01.0,2159,1.46,568,1981-04-26,1982-01-16
"     C/1981 M1 (Gonzalez)",7192.80,1981-03-25.6,0.9994,2.334,107.14,143.97,181.61,2.16e+05,COM,151,,20,,,,,,Gonzalez,2444823.5,1981-08-07.0,3598,1.32,514,1981-06-29,1981-11-27
"     C/1981 O1 (SOLWIND)",,1981-07-20.3,1.0000,0.006,141.71,345.96,68.43,,PAR,1,,,T,,,,,SOLWIND,2444805.8,1981-07-20.3,,,,1981-07-19,1981-07-20
"     C/1981 V1 (SOLWIND)",,1981-11-04.5,1.0000,0.004,143.85,357.57,77.68,,PAR,1,,,T,,,,,SOLWIND,2444913.0,1981-11-04.5,,,,1981-11-03,1981-11-04
"     C/1981 W1 (SOLWIND)",,1981-11-20.6,1.0000,0.005,135.48,24.63,97.36,,PAR,0,,14,T,,,,,SOLWIND,2444929.1,1981-11-20.6,,,,1981-11-20,1981-11-20
"     C/1982 M1 (Austin)",2145.03,1982-08-24.7,0.9994,0.648,84.49,326.26,33.82,3.51e+04,COM,288,,290,,,,,,Austin,2445217.5,1982-09-05.0,1073,0.293,114,1982-06-19,1983-04-03
"     C/1983 H1 (IRAS-Araki-Alcock)",195.08,1983-05-21.2,0.9899,0.991,73.25,49.10,192.85,971,COM,160,4,347,,,,,,IRAS-Araki-Alcock,2445467.5,1983-05-13.0,98.03,0.00584,2.27,1983-04-27,1983-10-04
"     C/1983 J1 (Sugano-Saigusa-Fujikawa)",9569.34,1983-05-01.3,0.9999,0.471,96.62,83.04,82.17,3.31e+05,COM,39,,55,,,,,,Sugano-Saigusa-Fujikawa,2445469.5,1983-05-15.0,4785,0.0486,18.9,1983-05-09,1983-06-17
"     C/1983 J2 (IRAS)",534.80,1983-01-18.6,0.9947,1.417,152.17,119.69,227.02,4.39e+03,COM,25,,7,T,,,,,IRAS,2445484.5,1983-05-30.0,268.1,0.514,200,1983-05-18,1983-06-12
"     C/1983 N1 (IRAS)",7669.31,1983-05-02.7,0.9994,2.418,138.83,171.80,265.59,2.38e+05,COM,297,,19,,,,,,IRAS,2445694.5,1983-12-26.0,3836,1.78,691,1983-07-14,1984-05-06
"     C/1983 N2 (SOLWIND)",,1983-07-07.8,1.0000,0.005,142.23,359.55,81.43,,PAR,0,,15,T,,,,,SOLWIND,2445523.4,1983-07-07.8,,,,1983-07-07,1983-07-07
"     C/1983 O1 (Cernis)",,1983-07-21.1,1.0015,3.318,134.70,209.58,186.21,,HYP,2854,,229,,,,,,Cernis,2445833.5,1984-05-13.0,-2174,2.33,905,1983-07-21,1991-05-14
"     C/1983 O2 (IRAS)",,1983-11-28.0,1.0001,2.255,120.74,201.26,333.98,,HYP,306,,35,,,,,,IRAS,2445755.5,1984-02-25.0,-1.737e+04,1.31,511,1983-08-04,1984-06-05
"     C/1983 R1 (Shoemaker)",,1983-11-23.7,1.0002,3.345,137.60,164.68,176.04,,HYP,624,,117,,,,,,Shoemaker,2445673.5,1983-12-05.0,-1.679e+04,2.34,910,1983-09-07,1985-05-23
"     C/1983 S2 (SOLWIND)",,1983-09-25.1,1.0000,0.008,143.99,358.68,78.58,,PAR,1,,,T,,,,,SOLWIND,2445602.7,1983-09-25.1,,,,1983-09-24,1983-09-25
"     C/1984 A1 (Bradfield 1)",55.58,1983-12-27.7,0.9523,1.357,51.80,356.86,219.16,152,HTC,142,6,33,,,,,,Bradfield,2445755.5,1984-02-25.0,28.47,0.479,186,1984-01-09,1984-05-30
"     C/1984 K1 (Shoemaker)",,1985-09-04.5,1.0007,2.697,116.67,49.69,235.47,,HYP,2779,,176,,,,,,Shoemaker,2446470.5,1986-02-09.0,-3731,1.98,772,1984-05-27,1992-01-05
"     C/1984 N1 (Austin)",3842.03,1984-08-12.1,0.9998,0.291,164.15,171.58,353.13,8.42e+04,COM,142,,100,,,,,,Austin,2445956.5,1984-09-13.0,1921,0.236,92,1984-07-08,1984-11-27
"     C/1984 O2 (SOLWIND)",,1984-07-28.5,1.0000,0.015,136.39,330.44,56.67,,PAR,0,,,T,,,,,SOLWIND,2445910.1,1984-07-28.5,,,,1984-07-28,1984-07-28
"     C/1984 Q1 (SOLWIND)",,1984-08-23.2,1.0000,0.005,144.14,355.72,81.04,,PAR,1,,8,T,,,,,SOLWIND,2445935.7,1984-08-23.2,,,,1984-08-22,1984-08-23
"     C/1984 R1 (SOLWIND)",,1984-09-17.4,1.0000,0.105,36.92,152.84,78.74,,PAR,1,,16,T,,,,,SOLWIND,2445960.9,1984-09-17.4,,,,1984-09-15,1984-09-16
"     C/1984 S1 (Meier)",1679.30,1984-10-13.9,0.9990,0.857,145.61,11.71,128.08,2.43e+04,COM,18,,12,T,,,,,Meier,2445966.5,1984-09-23.0,840.1,0.044,17.1,1984-09-18,1984-10-06
"     C/1984 U1 (Shoemaker)",1957.84,1984-09-03.4,0.9944,5.489,179.21,238.30,182.82,3.08e+04,COM,2034,,60,,,,,,Shoemaker,2446231.5,1985-06-15.0,981.7,4.5,1.75e+03,1982-01-30,1987-08-26
"     C/1984 U2 (Shoemaker)",82.29,1985-01-03.8,0.9709,1.215,13.88,223.48,229.21,270,COM,209,4,147,,,,,,Shoemaker,2446068.5,1985-01-03.0,41.75,0.291,113,1984-10-25,1985-05-22
"     C/1984 V1 (Levy-Rudenko)",2326.05,1984-12-14.2,0.9992,0.918,65.71,331.17,82.74,3.97e+04,COM,190,,162,,,,,,Levy-Rudenko,2446071.5,1985-01-06.0,1163,0.424,165,1984-11-15,1985-05-24
"     C/1984 W2 (Hartley)",15175.96,1985-09-28.3,0.9995,4.000,89.33,250.20,255.27,6.61e+05,COM,1278,,53,,,,,,Hartley,2446479.5,1986-02-18.0,7590,3.65,1.42e+03,1984-11-17,1988-05-18
"     C/1985 K1 (Machholz)",,1985-06-28.7,1.0000,0.106,16.28,195.43,274.50,,PAR,102,,30,T,,,,,Machholz,2446235.5,1985-06-19.0,,0.208,80.9,1985-05-28,1985-09-07
"     C/1985 R1 (Hartley-Good)",12317.13,1985-12-09.1,0.9999,0.695,79.93,358.40,87.03,4.83e+05,COM,187,,165,,1.2e-08,-2.3e-09,,,Hartley-Good,2446371.5,1985-11-02.0,6159,0.221,86.1,1985-09-13,1986-03-19
"     C/1985 T1 (Thiele)",156.26,1985-12-19.2,0.9833,1.317,139.07,53.01,53.00,699,COM,541,3,133,,,,,,Thiele,2446415.5,1985-12-16.0,78.79,0.514,200,1985-10-09,1987-04-03
"     C/1986 E1 (Shoemaker)",131.62,1986-03-11.2,0.9468,3.594,159.81,294.84,123.57,556,COM,298,4,37,,,,,,Shoemaker,2446598.5,1986-06-17.0,67.6,2.66,1.03e+03,1986-03-04,1986-12-27
"     C/1986 N1 (Churyumov-Solodovnikov)",6661.93,1986-05-06.4,0.9992,2.642,114.92,134.62,157.74,1.92e+05,COM,996,,86,,,,,,Churyumov-Solodovnikov,2446809.5,1987-01-14.0,3332,1.68,654,1986-07-15,1989-04-06
"     C/1986 P1 (Wilson)",,1987-04-20.7,1.0003,1.200,147.12,111.67,238.31,,HYP,980,,671,,1.8e-08,2.4e-11,,,Wilson,2446824.5,1987-01-29.0,-3809,0.391,152,1986-08-05,1989-04-11
"     C/1986 P1-A (Wilson)",,1987-04-20.7,1.0003,1.200,147.12,111.67,238.31,,HYP,980,,642,F,,,,,Wilson,2446920.5,1987-05-05.0,-3845,,,1986-08-05,1989-04-11
"     C/1986 P1-B (Wilson)",,1987-04-20.8,1.0008,1.199,147.12,111.67,238.31,,HYP,421,,25,F,,,,,Wilson,2446920.5,1987-05-05.0,-1505,,,1988-02-14,1989-04-10
"     C/1986 V1 (Sorrells)",46486.95,1987-03-09.6,0.9999,1.721,160.58,74.80,70.23,3.54e+06,COM,321,,360,,,,,,Sorrells,2446850.5,1987-02-24.0,2.324e+04,0.827,322,1986-11-02,1987-09-19
"     C/1987 A1 (Levy)",,1986-12-17.5,1.0004,0.921,96.58,17.12,95.25,,HYP,136,,62,,,,,,Levy,2446845.5,1987-02-19.0,-2336,0.476,185,1987-01-08,1987-05-24
"     C/1987 B1 (Nishikawa-Takamizawa-Tago)",413.05,1987-03-17.3,0.9958,0.870,172.23,176.01,200.40,2.98e+03,COM,131,,87,,,,,,Nishikawa-Takamizawa-Tago,2446852.5,1987-02-26.0,207,0.0477,18.6,1987-01-21,1987-06-01
"     C/1987 B2 (Terasako)",164.00,1986-12-24.8,0.9952,0.393,40.86,97.70,195.27,745,COM,39,7,49,,,,,,Terasako,2446833.5,1987-02-07.0,82.19,0.597,232,1987-01-26,1987-03-06
"     C/1987 F1 (Torres)",,1987-04-10.1,1.0012,3.624,124.08,194.49,329.07,,HYP,1005,,50,,,,,,Torres,2447179.5,1988-01-19.0,-2998,2.71,1.05e+03,1987-03-28,1989-12-27
"     C/1987 H1 (Shoemaker)",,1986-11-17.0,1.0032,5.457,132.49,268.34,16.99,,HYP,1715,,126,,,,,,Shoemaker,2447102.5,1987-11-03.0,-1699,4.47,1.74e+03,1987-04-25,1992-01-04
"     C/1987 P1 (Bradfield)",329.35,1987-11-07.2,0.9947,0.869,34.09,268.09,73.90,2.12e+03,COM,245,,611,,,,,,Bradfield,2447128.5,1987-11-29.0,165.1,0.203,78.9,1987-08-12,1988-04-13
"     C/1987 Q1 (Rudenko)",,1987-10-09.5,1.0004,0.603,114.88,298.57,143.83,,HYP,156,,90,,,,,,Rudenko,2447065.5,1987-09-27.0,-1360,0.301,117,1987-08-22,1988-01-25
"     C/1987 T1 (Levy)",107720.83,1987-09-09.1,1.0000,0.515,62.53,143.73,13.19,1.25e+07,COM,37,,18,T,,,,,Levy,2447092.5,1987-10-24.0,5.386e+04,0.463,180,1987-10-13,1987-11-19
"     C/1987 T2 (SMM)",,1987-10-06.0,1.0000,0.005,144.26,1.16,80.59,,PAR,0,,,T,,,,,SMM,2447074.6,1987-10-06.0,,,,1987-10-05,1987-10-05
"     C/1987 U3 (McNaught)",1165.89,1987-12-11.9,0.9986,0.841,97.13,261.34,17.41,1.41e+04,COM,504,,106,,8.0e-08,4.6e-09,,,McNaught,2447168.5,1988-01-08.0,583.4,0.152,59.1,1986-12-21,1988-05-08
"     C/1987 U4 (SMM)",,1987-10-18.0,1.0000,0.006,144.47,3.66,82.63,,PAR,0,,,T,,,,,SMM,2447086.5,1987-10-18.0,,,,1987-10-17,1987-10-17
"     C/1987 W1 (Ichimura)",655804.90,1988-01-10.1,1.0000,0.200,41.62,226.53,329.29,1.88e+08,COM,29,,48,T,,,,,Ichimura,2447127.5,1987-11-28.0,3.279e+05,0.251,97.8,1987-11-23,1987-12-22
