"full_name","ad","tp_cal","e","q","i","om","w","per_y","class","data_arc","condition_code","n_obs_used","two_body","A1","A2","A3","DT","name","epoch","epoch_cal","a","moid","moid_ld","first_obs","last_obs"
"     C/2002 M2 (SOHO)",,2002-06-18.6,1.0000,0.007,139.55,339.00,62.81,,PAR,1,,100,T,,,,,SOHO,2452444.1,2002-06-18.6,,,,2002-06-17,2002-06-18
"     C/2002 M3 (SOHO)",,2002-06-24.1,1.0000,0.006,146.35,344.39,63.47,,PAR,0,,9,T,,,,,SOHO,2452449.6,2002-06-24.1,,,,2002-06-23,2002-06-23
"     C/2002 M4 (SOHO)",,2002-06-27.4,1.0000,0.006,145.41,335.55,53.69,,PAR,0,,9,T,,,,,SOHO,2452452.9,2002-06-27.4,,,,2002-06-27,2002-06-27
"     C/2002 M5 (SOHO)",,2002-06-28.4,1.0000,0.005,145.65,7.18,84.90,,PAR,1,,13,T,,,,,SOHO,2452453.9,2002-06-28.4,,,,2002-06-27,2002-06-28
"     C/2002 M6 (SOHO)",,2002-06-29.2,1.0000,0.005,142.86,15.24,93.28,,PAR,1,,13,T,,,,,SOHO,2452454.7,2002-06-29.2,,,,2002-06-28,2002-06-29
"     C/2002 M7 (SOHO)",,2002-06-29.2,1.0000,0.005,143.30,14.18,92.13,,PAR,1,,9,T,,,,,SOHO,2452454.8,2002-06-29.2,,,,2002-06-28,2002-06-29
"     C/2002 M8 (SOHO)",,2002-06-16.8,1.0000,0.006,134.08,8.17,89.69,,PAR,0,,11,T,,,,,SOHO,2452442.3,2002-06-16.8,,,,2002-06-16,2002-06-16
"     C/2002 N1 (SOHO)",,2002-07-09.0,1.0000,0.005,136.62,19.83,100.02,,PAR,0,,6,T,,,,,SOHO,2452464.5,2002-07-09.0,,,,2002-07-08,2002-07-08
"     C/2002 N2 (SOHO)",,2002-07-11.9,1.0000,0.049,13.80,52.93,54.78,,PAR,1,,14,T,,,,,SOHO,2452467.4,2002-07-11.9,,,,2002-07-11,2002-07-12
"     C/2002 O1 (SOHO)",,2002-07-17.8,1.0000,0.005,144.77,0.95,80.05,,PAR,1,,19,T,,,,,SOHO,2452473.3,2002-07-17.8,,,,2002-07-16,2002-07-17
"     C/2002 O2 (SOHO)",,2002-07-17.9,1.0000,0.005,144.72,11.84,89.46,,PAR,1,,25,T,,,,,SOHO,2452473.5,2002-07-17.9,,,,2002-07-16,2002-07-17
"     C/2002 O3 (SOHO)",,2002-07-17.5,1.0000,0.005,144.38,3.81,82.01,,PAR,1,,8,T,,,,,SOHO,2452473.1,2002-07-17.5,,,,2002-07-16,2002-07-17
"     C/2002 O4 (Hoenig)",,2002-10-01.9,1.0009,0.776,73.13,321.04,105.94,,HYP,58,,1195,,,,,,Hoenig,2452499.5,2002-08-13.0,-907.3,0.178,69.2,2002-07-27,2002-09-23
"     C/2002 O6 (SWAN)",694.34,2002-09-09.4,0.9986,0.495,58.62,330.95,78.75,6.48e+03,COM,30,,215,,,,,,SWAN,2452497.5,2002-08-11.0,347.4,0.132,51.6,2002-08-01,2002-08-31
"     C/2002 O7 (LINEAR)",,2003-09-22.5,1.0003,0.903,98.74,12.80,252.07,,HYP,343,,1606,,,,,,LINEAR,2452736.5,2003-04-07.0,-3286,0.299,116,2002-07-29,2003-07-07
"     C/2002 P1 (NEAT)",821.13,2001-11-23.1,0.9842,6.530,34.61,310.67,347.76,8.42e+03,JFc,521,,99,,,,,,NEAT,2452571.5,2002-10-24.0,413.8,5.52,2.15e+03,2002-05-16,2003-10-19
"     P/2002 P2 (SOHO)",,2002-08-11.4,1.0000,0.005,143.87,6.38,85.75,,PAR,1,,13,T,,,,,SOHO,2452497.9,2002-08-11.4,,,,2002-08-10,2002-08-11
"     C/2002 P3 (SOHO)",,2002-08-12.6,1.0000,0.036,73.84,75.81,56.57,,PAR,0,,11,T,,,,,SOHO,2452499.2,2002-08-12.6,,,,2002-08-12,2002-08-12
"     C/2002 Q2 (LINEAR)",116.58,2002-08-17.7,0.9779,1.303,96.77,154.29,125.47,452,COM,24,7,166,,,,,,LINEAR,2452521.5,2002-09-04.0,58.94,0.551,214,2002-08-26,2002-09-19
"     C/2002 Q3 (LINEAR)",1551.24,2002-08-19.0,0.9983,1.306,96.90,154.15,125.70,2.16e+04,COM,6,,75,T,,,,,LINEAR,2452515.5,2002-08-29.0,776.3,0.554,216,2002-08-26,2002-09-01
"     C/2002 Q3-A (LINEAR)",466.59,2002-08-18.9,0.9944,1.305,96.86,154.19,125.70,3.58e+03,COM,10,,44,,,,,,LINEAR,2452526.5,2002-09-09.0,233.9,0.553,215,2002-09-04,2002-09-14
"     C/2002 Q5 (LINEAR)",,2002-11-19.2,1.0016,1.243,149.16,33.75,133.31,,HYP,275,,571,,,,,,LINEAR,2452574.5,2002-10-27.0,-789.1,0.365,142,2002-08-28,2003-05-30
"     C/2002 Q6 (SOHO)",,2002-08-23.6,1.0000,0.010,65.96,70.92,81.75,,PAR,0,,5,T,,,,,SOHO,2452510.2,2002-08-23.6,,,,2002-08-23,2002-08-23
"     C/2002 Q7 (SOHO)",,2002-08-25.0,1.0000,0.005,144.80,11.70,89.26,,PAR,1,,42,T,,,,,SOHO,2452511.5,2002-08-25.0,,,,2002-08-23,2002-08-24
"     C/2002 Q8 (SOHO)",,2002-08-25.9,1.0000,0.048,13.70,50.38,51.16,,PAR,0,,19,T,,,,,SOHO,2452512.4,2002-08-25.9,,,,2002-08-26,2002-08-26
"     C/2002 Q9 (SOHO)",,2002-08-19.4,1.0000,0.030,22.45,19.58,207.89,,PAR,0,,26,T,,,,,SOHO,2452505.9,2002-08-19.4,,,,2002-08-19,2002-08-19
"     C/2002 Q10 (SOHO)",,2002-08-27.5,1.0000,0.048,13.54,50.99,51.02,,PAR,0,,13,T,,,,,SOHO,2452514.0,2002-08-27.5,,,,2002-08-27,2002-08-27
"     C/2002 Q11 (SOHO)",,2002-08-30.1,1.0000,0.005,145.38,359.80,79.71,,PAR,0,,8,T,,,,,SOHO,2452516.7,2002-08-30.1,,,,2002-08-29,2002-08-29
"     C/2002 Q12 (SOHO)",,2002-08-19.1,1.0000,0.005,144.02,3.57,82.08,,PAR,0,,10,T,,,,,SOHO,2452505.6,2002-08-19.1,,,,2002-08-18,2002-08-18
"     C/2002 Q13 (SOHO)",,2002-08-27.7,1.0000,0.005,144.31,2.15,80.71,,PAR,0,,12,T,,,,,SOHO,2452514.2,2002-08-27.7,,,,2002-08-27,2002-08-27
"     C/2002 Q14 (SOHO)",,2002-08-30.1,1.0000,0.008,145.34,359.96,80.63,,PAR,0,,6,T,,,,,SOHO,2452516.7,2002-08-30.1,,,,2002-08-29,2002-08-29
"     C/2002 R1 (SOHO)",,2002-09-02.5,1.0000,0.049,22.19,70.43,33.67,,PAR,0,,32,T,,,,,SOHO,2452520.0,2002-09-02.5,,,,2002-09-02,2002-09-02
"     C/2002 R3 (LONEOS)",,2003-06-13.4,1.0026,3.869,161.10,54.30,45.07,,HYP,628,,1261,,,,,,LONEOS,2452737.5,2003-04-08.0,-1482,2.9,1.13e+03,2002-09-04,2004-05-24
"     C/2002 R4 (SOHO)",,2002-09-03.3,1.0000,0.052,28.31,85.69,20.16,,PAR,0,,35,T,,,,,SOHO,2452520.8,2002-09-03.3,,,,2002-09-03,2002-09-03
"     C/2002 R5 (SOHO)",6.38,2002-09-05.1,0.9853,0.047,14.12,13.21,45.73,5.77,JFC,2105,5,64,,,,,,SOHO,2453575.5,2005-07-24.0,3.216,0.0941,36.6,2002-09-05,2008-06-10
"     C/2002 R6 (SOHO)",,2002-09-14.0,1.0000,0.005,144.64,5.94,77.38,,PAR,0,,10,T,,,,,SOHO,2452531.6,2002-09-14.0,,,,2002-09-13,2002-09-13
"     C/2002 R7 (SOHO)",,2002-09-14.3,1.0000,0.005,144.72,12.27,88.52,,PAR,1,,21,T,,,,,SOHO,2452531.8,2002-09-14.3,,,,2002-09-13,2002-09-14
"     C/2002 R8 (SOHO)",,2002-09-15.7,1.0000,0.034,75.95,59.71,63.49,,PAR,0,,7,T,,,,,SOHO,2452533.2,2002-09-15.7,,,,2002-09-15,2002-09-15
"     C/2002 S2 (SOHO)",,2002-09-19.1,1.0000,0.005,144.31,3.76,81.07,,PAR,2,,64,T,,,,,SOHO,2452536.6,2002-09-19.1,,,,2002-09-17,2002-09-19
"     C/2002 S3 (SOHO)",,2002-09-18.1,1.0000,0.006,145.05,8.25,83.66,,PAR,0,,26,T,,,,,SOHO,2452535.7,2002-09-18.1,,,,2002-09-17,2002-09-17
"     C/2002 S4 (SOHO)",,2002-09-18.2,1.0000,0.048,13.51,50.81,50.98,,PAR,1,,50,T,,,,,SOHO,2452535.7,2002-09-18.2,,,,2002-09-17,2002-09-18
"     C/2002 S5 (SOHO)",,2002-09-19.3,1.0000,0.047,14.03,49.01,52.01,,PAR,0,,14,T,,,,,SOHO,2452536.8,2002-09-19.3,,,,2002-09-19,2002-09-19
"     C/2002 S6 (SOHO)",,2002-09-21.1,1.0000,0.005,146.22,7.28,87.71,,PAR,0,,7,T,,,,,SOHO,2452538.6,2002-09-21.1,,,,2002-09-20,2002-09-20
"     P/2002 S7 (SOHO)",6.40,2008-07-04.8,0.9848,0.049,13.58,50.19,52.17,5.79,JFC,2114,4,39,,,,,,SOHO,2453663.5,2005-10-20.0,3.224,0.114,44.5,2002-09-20,2008-07-04
"     C/2002 S8 (SOHO)",,2002-09-22.0,1.0000,0.005,144.46,3.36,79.66,,PAR,0,,30,T,,,,,SOHO,2452539.5,2002-09-22.0,,,,2002-09-21,2002-09-21
"     C/2002 S9 (SOHO)",,2002-09-24.2,1.0000,0.005,144.27,5.64,83.50,,PAR,0,,18,T,,,,,SOHO,2452541.8,2002-09-24.2,,,,2002-09-23,2002-09-23
"     C/2002 S10 (SOHO)",,2002-09-26.6,1.0000,0.005,144.17,4.59,81.57,,PAR,0,,15,T,,,,,SOHO,2452544.1,2002-09-26.6,,,,2002-09-26,2002-09-26
"     C/2002 S11 (SOHO)",,2002-09-30.3,1.0000,0.048,13.68,50.70,51.84,,PAR,1,,64,T,,,,,SOHO,2452547.8,2002-09-30.3,,,,2002-09-30,2002-10-01
"     C/2002 T2 (SOHO)",,2002-10-04.3,1.0000,0.037,70.94,70.73,57.79,,PAR,0,,7,T,,,,,SOHO,2452551.8,2002-10-04.3,,,,2002-10-04,2002-10-04
"     C/2002 T3 (SOHO)",,2002-10-09.3,1.0000,0.008,144.21,11.38,82.88,,PAR,1,,22,T,,,,,SOHO,2452556.9,2002-10-09.3,,,,2002-10-08,2002-10-09
"     C/2002 T7 (LINEAR)",,2004-04-23.0,1.0005,0.615,160.58,94.86,157.74,,HYP,1242,,4397,,1.2e-08,9.6e-10,-1.8e-09,,LINEAR,2452959.5,2003-11-16.0,-1264,0.255,99.4,2002-10-12,2006-03-07
"     C/2002 U1 (SOHO)",,2002-10-16.7,1.0000,0.006,145.90,6.96,89.53,,PAR,0,,13,T,,,,,SOHO,2452564.2,2002-10-16.7,,,,2002-10-16,2002-10-16
"     C/2002 U2 (LINEAR)",,2002-12-31.9,1.0000,1.209,59.14,38.78,95.85,,HYP,209,,372,,,,,,LINEAR,2452641.5,2003-01-02.0,-2.705e+04,0.752,293,2002-10-25,2003-05-22
"     C/2002 U3 (SOHO)",,2002-10-17.7,1.0000,0.005,143.12,7.95,84.44,,PAR,0,,7,T,,,,,SOHO,2452565.2,2002-10-17.7,,,,2002-10-17,2002-10-17
"     C/2002 U4 (SOHO)",,2002-10-23.2,1.0000,0.005,144.67,9.72,87.34,,PAR,0,,4,T,,,,,SOHO,2452570.7,2002-10-23.2,,,,2002-10-22,2002-10-22
"     C/2002 U5 (SOHO)",,2002-10-28.5,1.0000,0.005,144.31,11.48,88.17,,PAR,2,,66,T,,,,,SOHO,2452576.0,2002-10-28.5,,,,2002-10-26,2002-10-28
"     C/2002 U6 (SOHO)",,2002-10-28.2,1.0000,0.036,73.06,74.62,56.77,,PAR,0,,17,T,,,,,SOHO,2452575.8,2002-10-28.2,,,,2002-10-28,2002-10-28
"     C/2002 U7 (SOHO)",,2002-10-31.1,1.0000,0.005,145.16,2.71,80.55,,PAR,0,,7,T,,,,,SOHO,2452578.7,2002-10-31.1,,,,2002-10-30,2002-10-30
"     C/2002 U8 (SOHO)",,2002-10-31.6,1.0000,0.005,143.97,4.42,83.36,,PAR,0,,5,T,,,,,SOHO,2452579.2,2002-10-31.6,,,,2002-10-31,2002-10-31
"     C/2002 U9 (SOHO)",,2002-10-31.7,1.0000,0.005,144.17,10.22,86.26,,PAR,0,,8,T,,,,,SOHO,2452579.3,2002-10-31.7,,,,2002-10-31,2002-10-31
